package	pn_exit	em_exit	category
acct-user/buildbot	FAIL(3)	FAIL(1)	fail/fail
app-accessibility/julius	FAIL(3)	FAIL(1)	fail/fail
app-accessibility/yasr	FAIL(3)	FAIL(1)	fail/fail
app-admin/clsync	FAIL(3)	FAIL(1)	fail/fail
app-admin/calamares	FAIL(3)	FAIL(1)	fail/fail
app-accessibility/caribou	FAIL(3)	FAIL(1)	fail/fail
app-admin/kio-admin	FAIL(3)	FAIL(1)	fail/fail
app-admin/multilog-watch	FAIL(3)	FAIL(1)	fail/fail
app-admin/ryzen_monitor	FAIL(3)	FAIL(1)	fail/fail
app-admin/ryzen_smu	FAIL(3)	FAIL(1)	fail/fail
app-admin/mkosi	FAIL(3)	FAIL(1)	fail/fail
app-antivirus/lkrg	FAIL(3)	FAIL(1)	fail/fail
app-arch/hardlink	FAIL(3)	FAIL(1)	fail/fail
app-admin/systemdgenie	FAIL(3)	FAIL(1)	fail/fail
app-arch/stuffit	FAIL(3)	FAIL(1)	fail/fail
app-backup/backuppc	FAIL(3)	FAIL(1)	fail/fail
app-backup/amanda	FAIL(3)	OK	fail/ok
app-backup/kup	FAIL(3)	FAIL(1)	fail/fail
app-benchmarks/bonnie	FAIL(137)	FAIL(137)	fail/fail
app-benchmarks/bonnie++	FAIL(137)	FAIL(137)	fail/fail
app-cdr/dolphin-plugins-mountiso	FAIL(3)	FAIL(1)	fail/fail
app-cdr/gcdemu	FAIL(3)	FAIL(1)	fail/fail
app-cdr/cdemu-daemon	FAIL(3)	FAIL(1)	fail/fail
app-accessibility/kontrast	FAIL(3)	FAIL(1)	fail/fail
app-cdr/cdemu	FAIL(3)	FAIL(1)	fail/fail
app-cdr/kcdemu	FAIL(3)	FAIL(1)	fail/fail
app-cdr/disc-cover	FAIL(3)	FAIL(1)	fail/fail
app-cdr/xfburn	FAIL(3)	FAIL(1)	fail/fail
app-cdr/dvdisaster	FAIL(3)	FAIL(1)	fail/fail
app-crypt/bcwipe	FAIL(3)	FAIL(1)	fail/fail
app-containers/snapd	FAIL(3)	FAIL(1)	fail/fail
app-crypt/freepg	FAIL(3)	FAIL(1)	fail/fail
app-crypt/gpgstats	FAIL(3)	FAIL(1)	fail/fail
app-containers/nvidia-container-toolkit	FAIL(3)	FAIL(1)	fail/fail
app-crypt/heimdal	FAIL(3)	FAIL(1)	fail/fail
app-crypt/keepsecret	FAIL(3)	FAIL(1)	fail/fail
app-crypt/keysmith	FAIL(3)	FAIL(1)	fail/fail
app-crypt/rainbowcrack	FAIL(3)	OK	fail/ok
app-crypt/simple-tpm-pk11	FAIL(3)	FAIL(1)	fail/fail
app-arch/unar	FAIL(3)	FAIL(1)	fail/fail
app-dicts/aspell-is	FAIL(3)	OK	fail/ok
app-crypt/veracrypt	FAIL(3)	FAIL(1)	fail/fail
app-dicts/dikt	FAIL(3)	FAIL(1)	fail/fail
